Make,Model,Vehicle Type,Vehicle Type NEW
CHRYSLER,COMPASS,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
MOTO GUZZI,CA SPECI,MOTORCYCLE,Motorcycle
DUCATI,ZDM851SS,MOTORCYCLE,Motorcycle
PRO-STREET FRAMEWORKS,250SFTL,MOTORCYCLE,Motorcycle
CFMOTO,CF700,MOTORCYCLE,Motorcycle
DODG,RVVN,INCOMPLETE VEHICLE,Passenger Truck
MOTOFINO USA,MF150QT,MOTORCYCLE,Motorcycle
HONDA,110TRAIL,MOTORCYCLE,Motorcycle
MASERATI,MC20,PASSENGER CAR,Passenger Car
SUZUKI,LT-A400F/LT-A400FCL,MOTORCYCLE,Motorcycle
RALLY SPORT,RS COSWO,PASSENGER CAR,Passenger Car
FRHT,BOX VAN,INCOMPLETE VEHICLE,Refuse Truck
DI BLASI,SCOOTER,MOTORCYCLE,Motorcycle
DODG,17CTYCLU,INCOMPLETE VEHICLE,School Bus
TRADW,TRADEWIND,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
CHEVROLET,C10,TRUCK,Light Commercial Truck
JIAJUE,JJ50QT-21,MOTORCYCLE,Motorcycle
DODG,UTILBED,INCOMPLETE VEHICLE,Single Unit Short-haul Truck
HOND,ACCORD SEDAN,INCOMPLETE VEHICLE,Transit Bus
FORD,F470,INCOMPLETE VEHICLE,Combination Long-haul Truck
SUPERMACH,MP50,MOTORCYCLE,Motorcycle
FERRARI,QV 308 GBTI,PASSENGER CAR,Passenger Car
TEMSA,TS35,BUS,School Bus
ISUZU,F6,TRUCK,Refuse Truck
THMCF,DELANO,INCOMPLETE VEHICLE,Combination Short-haul Truck
YAMAHA,YZ85,MOTORCYCLE,Motorcycle
E-SUV,EXV2,LOW SPEED VEHICLE (LSV),Other
CHEVROLET,ASTRO,TRUCK,Single Unit Long-haul Truck
UD,PU,INCOMPLETE VEHICLE,Light Commercial Truck
FRHT,SCHOOL BUS,INCOMPLETE VEHICLE,Motor Home
GMC,HUMMER EV PICKUP,TRUCK,Single Unit Short-haul Truck
THAMLEV,CITY CRUISER,MOTORCYCLE,Motorcycle
HONDA,CT11081,MOTORCYCLE,Motorcycle
HONDA,CT TRAIL110,MOTORCYCLE,Motorcycle
KYMCO,TOMOS/KYMCO PRODUCTS,MOTORCYCLE,Motorcycle
ITALJET,TORP125,MOTORCYCLE,Motorcycle
ITNL,4700,INCOMPLETE VEHICLE,Other Buses
YAMAHA,XV500,MOTORCYCLE,Motorcycle
TEEE,UNITY,INCOMPLETE VEHICLE,Passenger Truck
CHEV,LS3500,INCOMPLETE VEHICLE,Refuse Truck
GMC,CONVAN,INCOMPLETE VEHICLE,School Bus
KAWASAKI,KX100,MOTORCYCLE,Motorcycle
MV AGUSTA MOTOR,"F3 ROSSO, F3 R, F3 RR, F3 RC, F3, SUPERVELOCE, SUPERVELOCE S, SUPERVELOCE ALPINE, SUPERVELOCE 75, SUPERVELOCE 98 EDIZIONE LIMITATA, SUPERVELOCE AGO",MOTORCYCLE,Motorcycle
DERBI,GP1 REPL,MOTORCYCLE,Motorcycle
BAODIAO,7 LINES,MOTORCYCLE,Motorcycle
FORD,BOOM TRUCK,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
MIFU,FK,INCOMPLETE VEHICLE,Single Unit Short-haul Truck
MOTO GUZZI,V85 TT ADVENTURE E5,MOTORCYCLE,Motorcycle
ZHONGXING,LITTLE MONSTER,MOTORCYCLE,Motorcycle
MOTO GUZZI,V7 STONE E5,MOTORCYCLE,Motorcycle
MOTO GUZZI,1100C,MOTORCYCLE,Motorcycle
WINN,OUTLOOK CLASS C MOTORHOMES,INCOMPLETE VEHICLE,Transit Bus
FORD,PLEASURE,INCOMPLETE VEHICLE,Combination Long-haul Truck
YAMAHA,TY350N,MOTORCYCLE,Motorcycle
EAHORA,M2,MOTORCYCLE,Motorcycle
HONDA,TR200 FAT CAT,MOTORCYCLE,Motorcycle
GMC,VANDURA G3500,INCOMPLETE VEHICLE,Combination Short-haul Truck
VOLKSWAGEN,TRANS,TRUCK,Passenger Truck
BMW,745LE,PASSENGER CAR,Passenger Car
GMC,RALLY STX 4X2,INCOMPLETE VEHICLE,Light Commercial Truck
FENGYUAN,GT1,MOTORCYCLE,Motorcycle
CHEV,FIX LIFT,INCOMPLETE VEHICLE,Motor Home
LAMBORGHINI,HURACAN STO,PASSENGER CAR,Passenger Car
LOGIC MOTOR COMPANY,LOGIC MOTOR COMPANY,MOTORCYCLE,Motorcycle
DODG,RAM VAN 2500,INCOMPLETE VEHICLE,Other Buses
HERCULES,HERCULES MOTOR COACH,BUS,Transit Bus
