Make,Model,Vehicle Type,Vehicle Type NEW
TOYOTA,4-RUNNER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,AVALON,PASSENGER CAR,Passenger Car
TOYOTA,CAMRY,PASSENGER CAR,Passenger Car
TOYOTA,CAMRY SOLARA,PASSENGER CAR,Passenger Car
TOYOTA,CELICA,PASSENGER CAR,Passenger Car
TOYOTA,C-HR,PASSENGER CAR,Passenger Car
TOYOTA,COA4D,PASSENGER CAR,Passenger Car
TOYOTA,COROLLA,PASSENGER CAR,Passenger Car
TOYOTA,COROLLA MATRIX,PASSENGER CAR,Passenger Car
TOYOTA,CRESSIDA,PASSENGER CAR,Passenger Car
TOYOTA,ECHO,PASSENGER CAR,Passenger Car
TOYOTA,FJ CRUISER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,HIGHLANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,LAND CRUISER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,PASEO,PASSENGER CAR,Passenger Car
TOYOTA,PICK-UP,TRUCK,Single Unit Short-haul Truck
TOYOTA,PREVIA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,PRIUS,PASSENGER CAR,Passenger Car
TOYOTA,PRIUS C,PASSENGER CAR,Passenger Car
TOYOTA,PRIUS V,PASSENGER CAR,Passenger Car
TOYOTA,RAV4,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,SCION XA,PASSENGER CAR,Passenger Car
TOYOTA,SCION FR-S,PASSENGER CAR,Passenger Car
TOYOTA,SCION IA,PASSENGER CAR,Passenger Car
TOYOTA,SCION TC,PASSENGER CAR,Passenger Car
TOYOTA,SCION XB,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,SCION XD,PASSENGER CAR,Passenger Car
TOYOTA,SEQUOIA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,SIENNA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,T100,TRUCK,Single Unit Short-haul Truck
TOYOTA,TERCEL,PASSENGER CAR,Passenger Car
TOYOTA,TUNDRA,TRUCK,Single Unit Short-haul Truck
TOYOTA,VAN,TRUCK,Single Unit Short-haul Truck
TOYOTA,VAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,VENZA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
TOYOTA,YARIS,PASSENGER CAR,Passenger Car
TOYOTA,YARIS IA,PASSENGER CAR,Passenger Car
TRIUMPH,BONNEVILLE,MOTORCYCLE,Motorcycle
TRIUMPH,STREET TWIN,MOTORCYCLE,Motorcycle
VICTORY,CROSS COUNTRY TOUR,MOTORCYCLE,Motorcycle
VOLKSWAGEN,ARTEON 4MOTION,PASSENGER CAR,Passenger Car
VOLKSWAGEN,ATLAS,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLKSWAGEN,BEETLE,PASSENGER CAR,Passenger Car
VOLKSWAGEN,CC,PASSENGER CAR,Passenger Car
VOLKSWAGEN,E-GOLF,PASSENGER CAR,Passenger Car
VOLKSWAGEN,EUROVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLKSWAGEN,GOLF,PASSENGER CAR,Passenger Car
VOLKSWAGEN,GOLF ALLTRACK,PASSENGER CAR,Passenger Car
VOLKSWAGEN,GOLF GTI,PASSENGER CAR,Passenger Car
VOLKSWAGEN,GOLF III,PASSENGER CAR,Passenger Car
VOLKSWAGEN,GOLF R,PASSENGER CAR,Passenger Car
VOLKSWAGEN,GOLF SPORTWAGEN,PASSENGER CAR,Passenger Car
VOLKSWAGEN,GTI,PASSENGER CAR,Passenger Car
VOLKSWAGEN,JETTA,PASSENGER CAR,Passenger Car
VOLKSWAGEN,JETTA SPORTWAGEN,PASSENGER CAR,Passenger Car
VOLKSWAGEN,JETTA WAGON,PASSENGER CAR,Passenger Car
VOLKSWAGEN,PASSAT,PASSENGER CAR,Passenger Car
VOLKSWAGEN,RABBIT,PASSENGER CAR,Passenger Car
VOLKSWAGEN,ROUTAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLKSWAGEN,TIGUAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLKSWAGEN,TOUAREG,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
VOLVO,740 SERIES,PASSENGER CAR,Passenger Car
VOLVO,850 SERIES,PASSENGER CAR,Passenger Car
VOLVO,940 SERIES,PASSENGER CAR,Passenger Car
VOLVO,S40,PASSENGER CAR,Passenger Car
VOLVO,S60,PASSENGER CAR,Passenger Car
VOLVO,S70,PASSENGER CAR,Passenger Car
VOLVO,S80,PASSENGER CAR,Passenger Car
VOLVO,V70,PASSENGER CAR,Passenger Car
