Record Type,Make,Body Type
VEH,KENWO,DUMP
VEH,DU/BU,2DSD
VEH,BROCK,RBM
VEH,HUDSO,CONV
VEH,CASE,????
VEH,RAMBL,2DSD
VEH,OLDS,2DSD
VEH,OLDS,CONV
VEH,FERGU,RBM
VEH,LITG,TR/C
VEH,KOEHR,RBM
VEH,KOEHR,EMVR
VEH,SEAMA,S/SP
VEH,BERKE,CONV
VEH,DODGE,STAK
VEH,INTER,STAK
VEH,FORDD,2DSD
VEH,REO,PICK
VEH,PTRB,H/WH
VEH,VOHL,SN/P
VEH,JAGU,CONV
VEH,CHRYS,FLAT
VEH,RALEI,MCY
VEH,ROVER,4DSD
VEH,PETER,TANK
VEH,HUPMO,4DSD
VEH,SURRE,CONV
VEH,CHEVR,SEDN
VEH,MACK,FLAT
VEH,CLEVE,RBM
VEH,AUDI,4DSD
VEH,SE/JE,TANK
VEH,AQUAT,TANK
VEH,BMW,2DSD
VEH,NASH,CONV
VEH,CANAM,MCY
VEH,HORCH,CONV
VEH,DM,CONV
VEH,HOMEM,MCY
VEH,CA/AM,MCY
VEH,DUCA,MCY
VEH,MVAUG,MCY
VEH,FRANK,2DSD
VEH,SUNBE,MCY
VEH,WHITE,TR/C
VEH,MEBE,CONV
VEH,MEBE,2DSD
VEH,LEBOY,RBM
VEH,NOTON,MCY
VEH,NOTN,MCY
VEH,NORT,MCY
VEH,FIAT,RBM
VEH,AM/GE,UTIL
VEH,AM/GE,FLAT
VEH,KAWAS,EMVR
VEH,RAMB,CONV
VEH,GRADA,RBM
VEH,DODGE,FLAT
VEH,CADIL,CONV
VEH,CADIL,2DSD
VEH,MOFFE,P/SH
VEH,AUSTI,R/RD
VEH,AUSWE,R/RD
VEH,ST/BA,PICK
VEH,OLDSM,SUBN
VEH,CADI,4DSD
VEH,TIGER,EMVR
VEH,BATAV,MOPD
VEH,PACER,MOPD
VEH,DODG,PICK
VEH,EIN,PICK
VEH,CHYRS,2DSD
VEH,CHRY,2DSD
VEH,LAMBR,MOPD
VEH,DEMAG,T/CR
VEH,MANCO,ATV
VEH,GAZ,4DSD
VEH,AUSTI,SUBN
VEH,INTER,UTIL
VEH,CASE,R/RD
VEH,CADDI,CONV
VEH,AG/CH,S/SP
VEH,OSHKO,????
VEH,DODGE,UTIL
VEH,VOLKS,CONV
VEH,STAK,STAK
VEH,MOFFE,SWT
VEH,STUD,2DSD
VEH,DODGE,DUMP
VEH,CLEVE,MCY
VEH,STU,2DSD
VEH,STUDA,2DSD
VEH,BSA,MCY
VEH,CADI,2DSD
VEH,PONTI,SUBN
VEH,PONT,4DSD
VEH,JETST,CONV
VEH,IHC,DUMP
VEH,CHRYS,SEDN
VEH,GLSC,CONV
VEH,PEUGE,4DSD
VEH,BROCK,SEMI
VEH,KAIS,2DSD
VEH,LAMBO,2DSD
VEH,FRANK,CONV
VEH,JEEPS,SUBN
VEH,AMC,SUBN
VEH,AMER,SUBN
VEH,KAIS,SEDN
VEH,JEEP,4DSD
VEH,TERRA,S/SP
VEH,KTM,ATV
VEH,AM/GE,TANK
VEH,TO/MO,SWT
VEH,AM/GE,TRAC
VEH,FIBER,CONV
VEH,HUBER,R/RD
VEH,LANCI,2DSD
VEH,MICHI,EMVR
VEH,VOLKS,UTIL
VEH,REO,FIRE
VEH,DODGE,TANK
VEH,LANCI,CONV
VEH,NE/HO,TRAC
VEH,PONT,SEDN
VEH,POTI,CONV
VEH,DODG,2DSD
VEH,KTM,MCY
VEH,AMERI,TANK
VEH,GROVE,T/CR
VEH,JAG,CONV
VEH,LANC,2DSD
VEH,LNCI,2DSD
VEH,LANCI,4DSD
VEH,DODGE,CONV
VEH,GREEV,MCY
VEH,LAMBE,MCY
VEH,ALFA,CONV
VEH,DODGE,SEMI
VEH,DAYTO,CONV
VEH,AM/LA,2DSD
VEH,COMMA,2DSD
VEH,DODGE,TOW
VEH,DODGE,FIRE
VEH,FORD,P/SH
VEH,AMERI,FIRE
VEH,AM/LA,FIRE
VEH,INTER,DUMP
VEH,PIERC,4DSD
VEH,SEARS,MCY
VEH,PI/AR,CONV
VEH,AUST,CONV
VEH,INTL,DUMP
VEH,CORD,4DSD
VEH,AUBUR,2DSD
VEH,CATAP,REFG
VEH,OSHKO,FLAT
VEH,KUBTA,P/SH
VEH,BROCK,TR/C
VEH,WA/LA,UTIL
VEH,KUBOT,TRAC
VEH,BL/KN,RBM
VEH,GILER,MCY
VEH,COACH,H/WH
VEH,SUPIE,RD/S
VEH,EXCAL,CONV
VEH,VELOS,MOPD
VEH,INGER,R/RD
VEH,LAFRA,FIRE
VEH,GRADE,RBM
VEH,BROCW,VAN
VEH,GMC,DELV
VEH,KM,P/SH
VEH,CADDI,2DSD
VEH,INTNL,2DSD
VEH,JUNAK,MCY
VEH,TORO,RBM
VEH,WILLY,SEDN
VEH,DODGE,DELV
VEH,PI/AR,4DSD
VEH,TORO,UTIL
VEH,OLICR,????
VEH,WARD,FIRE
VEH,KIM,P/SH
VEH,OLIVE,????
VEH,WA/LA,FIRE
VEH,RIVOL,4DSD
VEH,ALLIS,TRAC
VEH,FIAT,CONV
VEH,TENNA,RD/S
VEH,CHRYS,UTIL
VEH,DELAH,2DSD
VEH,HO/AS,2DSD
VEH,AMERI,FLAT
VEH,MERC,4DSD
VEH,CAT,EMVR
VEH,CONTI,2DSD
VEH,LICOL,4DSD
VEH,WRIOR,CONV
VEH,CATGR,RBM
VEH,TE/GA,UTIL
VEH,MUSTA,2DSD
VEH,FORDM,2DSD
VEH,FOR,2DSD
VEH,MUS,2DSD
VEH,TOYOT,2DSD
VEH,ST/CH,MCY
VEH,MRECU,2DSD
VEH,SELDE,FLAT
VEH,MUSTA,CONV
VEH,FORDQ,2DSD
VEH,FOR,SUBN
VEH,CHEVR,DUMP
VEH,CHEV,SWT
VEH,DTM,2DSD
VEH,DETOM,2DSD
VEH,GEHL,TR/C
VEH,AU/HE,CONV
VEH,LI/BE,TR/C
VEH,BUICK,SEDN
VEH,BUI,4DSD
VEH,LAYMO,RD/S
