Record Type,Make,Body Type,Vehicle Category
VEH,SKYJA,SWT,Single Unit Long-haul Truck
VEH,NEWHO,TRAC,Passenger Car
VEH,NE/HO,P/SH,Motor Home
VEH,JEEP,UTIL,Transit Bus
VEH,KAISE,SUBN,Combination Short-haul Truck
VEH,JEEP,SEDN,Single Unit Long-haul Truck
VEH,KAISE,CONV,Light Commercial Truck
VEH,CARTE,RBM,Single Unit Short-haul Truck
VEH,CATE,RBM,Single Unit Short-haul Truck
VEH,CATER,SWT,Single Unit Long-haul Truck
VEH,FOR,PICK,Passenger Truck
VEH,IN/RA,R/RD,Passenger Truck
VEH,GROVE,TR/C,Refuse Truck
VEH,KENWO,DUMP,School Bus
VEH,DU/BU,2DSD,Other Buses
VEH,BROCK,RBM,Single Unit Short-haul Truck
VEH,HUDSO,CONV,Light Commercial Truck
VEH,CASE,????,Motorcycle
VEH,RAMBL,2DSD,Other Buses
VEH,OLDS,2DSD,Other Buses
VEH,OLDS,CONV,Light Commercial Truck
VEH,FERGU,RBM,Single Unit Short-haul Truck
VEH,LITG,TR/C,Refuse Truck
VEH,KOEHR,RBM,Single Unit Short-haul Truck
VEH,KOEHR,EMVR,Passenger Car
VEH,SEAMA,S/SP,Combination Short-haul Truck
VEH,BERKE,CONV,Light Commercial Truck
VEH,DODGE,STAK,Combination Long-haul Truck
VEH,INTER,STAK,Combination Long-haul Truck
VEH,FORDD,2DSD,Other Buses
VEH,REO,PICK,Passenger Truck
VEH,PTRB,H/WH,Motor Home
VEH,VOHL,SN/P,Other Buses
VEH,JAGU,CONV,Light Commercial Truck
VEH,CHRYS,FLAT,Combination Short-haul Truck
VEH,RALEI,MCY,Motorcycle
VEH,ROVER,4DSD,Combination Long-haul Truck
VEH,PETER,TANK,Other Buses
VEH,HUPMO,4DSD,Combination Long-haul Truck
VEH,SURRE,CONV,Light Commercial Truck
VEH,CHEVR,SEDN,Single Unit Long-haul Truck
VEH,MACK,FLAT,Combination Short-haul Truck
VEH,CLEVE,RBM,Single Unit Short-haul Truck
VEH,AUDI,4DSD,Combination Long-haul Truck
VEH,SE/JE,TANK,Other Buses
VEH,AQUAT,TANK,Other Buses
VEH,BMW,2DSD,Other Buses
VEH,NASH,CONV,Light Commercial Truck
VEH,CANAM,MCY,Motorcycle
VEH,HORCH,CONV,Light Commercial Truck
VEH,DM,CONV,Light Commercial Truck
VEH,HOMEM,MCY,Motorcycle
VEH,CA/AM,MCY,Motorcycle
VEH,DUCA,MCY,Motorcycle
VEH,MVAUG,MCY,Motorcycle
VEH,FRANK,2DSD,Other Buses
